800
275,720
323,743
564,790
585,379
333,251
115,745
342,634
218,574
680,489
571,726
780,135
504,643
336,189
15,79
103,138
657,428
711,73
333,63
295,377
637,631
491,46
453,636
249,55
76,493
621,311
304,216
527,34
174,683
219,392
694,693
192,439
247,499
462,79
361,293
596,206
290,254
126,441
598,300
414,708
642,778
404,626
624,232
226,103
183,749
86,82
220,97
501,279
170,611
751,238
248,637
353,587
270,224
202,156
682,303
367,568
541,706
682,280
503,371
110,714
733,359
545,589
342,587
638,446
315,565
687,87
196,239
98,513
756,344
560,506
765,775
24,317
76,747
391,220
33,457
394,501
189,112
518,748
476,623
187,469
399,36
261,558
417,552
427,246
153,442
113,373
552,233
758,796
599,133
786,144
374,631
318,786
233,586
353,132
654,623
282,610
788,645
633,229
646,260
346,405
420,640
